Name
Sfantu-Gheorghe
Floresti
Hunedoara
Zalau
Barlad
Deva
Popesti-Leordeni
Giurgiu
Calarasi
Vaslui
Slatina
Alba Iulia
Tulcea
Focsani
Targoviste
Targu Jiu
Bistrita
Piatra Neamt
Drobeta-Turnu Severin
Resita
Suceava
Botosani
Satu Mare
Ramnicu Valcea
Buzau
Baia Mare
Targu-Mures
Sibiu
Bacau
Pitesti
Arad
Braila
Ploiesti
Oradea
Galati
Craiova
Brasov
Timisoara
Constanta
Iasi
Cluj-Napoca
Bucharest
