Name
Kobryn
Slutsk
Svyetlahorsk
Horad Zhodzina
Rechytsa
Zhlobin
Polatsk
Maladzyechna
Navapolatsk
Salihorsk
Orsha
Lida
Mazyr
Pinsk
Horad Barysaw
Baranavichy
Babruysk
Brest
Mahilyow
Hrodna
Vitsyebsk
Homyel'
Minsk
